timestamp,topic,problems_solved
2026-03-07 11:37:27,String,16
2026-03-07 11:37:27,Simulation,10
2026-03-07 11:37:27,Sorting,13
2026-03-07 11:37:27,Stack,8
2026-03-07 11:37:27,Queue,3
2026-03-07 11:37:27,Linked List,1
2026-03-07 11:37:27,Two Pointers,15
2026-03-07 11:37:27,Hash Table,16
2026-03-07 11:37:27,Greedy,3
2026-03-07 11:37:27,Binary Search,8
2026-03-07 11:37:27,Recursion,1
2026-03-07 11:37:27,Sliding Window,1
2026-03-07 11:37:27,Bit Manipulation,9
2026-03-07 11:37:27,Math,13
2026-03-07 11:37:27,Design,3
2026-03-07 11:37:27,Database,1
2026-03-07 11:37:27,Dynamic Programming,4
2026-03-07 11:37:27,Divide and Conquer,5
2026-03-07 11:37:27,Trie,1
2026-03-07 11:37:27,Monotonic Stack,3
2026-03-07 11:46:47,Array,62
2026-03-07 11:46:47,Matrix,2
2026-03-07 11:46:47,String,16
2026-03-07 11:46:47,Simulation,10
2026-03-07 11:46:47,Sorting,13
2026-03-07 11:46:47,Stack,8
2026-03-07 11:46:47,Queue,3
2026-03-07 11:46:47,Linked List,1
2026-03-07 11:46:47,Two Pointers,15
2026-03-07 11:46:47,Hash Table,16
2026-03-07 11:46:47,Greedy,3
2026-03-07 11:46:47,Binary Search,8
2026-03-07 11:46:47,Recursion,1
2026-03-07 11:46:47,Sliding Window,1
2026-03-07 11:46:47,Bit Manipulation,9
2026-03-07 11:46:47,Math,13
2026-03-07 11:46:47,Design,3
2026-03-07 11:46:47,Database,1
2026-03-07 11:46:47,Dynamic Programming,4
2026-03-07 11:46:47,Divide and Conquer,5
2026-03-07 11:46:47,Trie,1
2026-03-07 11:46:47,Monotonic Stack,3
2026-03-07 11:46:48,Array,62
2026-03-07 11:46:48,Matrix,2
2026-03-07 11:46:48,String,16
2026-03-07 11:46:48,Simulation,10
2026-03-07 11:46:48,Sorting,13
2026-03-07 11:46:48,Stack,8
2026-03-07 11:46:48,Queue,3
2026-03-07 11:46:48,Linked List,1
2026-03-07 11:46:48,Two Pointers,15
2026-03-07 11:46:48,Hash Table,16
2026-03-07 11:46:48,Greedy,3
2026-03-07 11:46:48,Binary Search,8
2026-03-07 11:46:48,Recursion,1
2026-03-07 11:46:48,Sliding Window,1
2026-03-07 11:46:48,Bit Manipulation,9
2026-03-07 11:46:48,Math,13
2026-03-07 11:46:48,Design,3
2026-03-07 11:46:48,Database,1
2026-03-07 11:46:48,Dynamic Programming,4
2026-03-07 11:46:48,Divide and Conquer,5
2026-03-07 11:46:48,Trie,1
2026-03-07 11:46:48,Monotonic Stack,3
2026-03-07 11:53:55,Array,62
2026-03-07 11:53:55,Matrix,2
2026-03-07 11:53:55,String,16
2026-03-07 11:53:55,Simulation,10
2026-03-07 11:53:55,Sorting,13
2026-03-07 11:53:55,Stack,8
2026-03-07 11:53:55,Queue,3
2026-03-07 11:53:55,Linked List,1
2026-03-07 11:53:55,Two Pointers,15
2026-03-07 11:53:55,Hash Table,16
2026-03-07 11:53:55,Greedy,3
2026-03-07 11:53:55,Binary Search,8
2026-03-07 11:53:55,Recursion,1
2026-03-07 11:53:55,Sliding Window,1
2026-03-07 11:53:55,Bit Manipulation,9
2026-03-07 11:53:55,Math,13
2026-03-07 11:53:55,Design,3
2026-03-07 11:53:55,Database,1
2026-03-07 11:53:55,Dynamic Programming,4
2026-03-07 11:53:55,Divide and Conquer,5
2026-03-07 11:53:55,Trie,1
2026-03-07 11:53:55,Monotonic Stack,3
2026-03-07 11:54:15,Array,62
2026-03-07 11:54:15,Matrix,2
2026-03-07 11:54:15,String,16
2026-03-07 11:54:15,Simulation,10
2026-03-07 11:54:15,Sorting,13
2026-03-07 11:54:15,Stack,8
2026-03-07 11:54:15,Queue,3
2026-03-07 11:54:15,Linked List,1
2026-03-07 11:54:15,Two Pointers,15
2026-03-07 11:54:15,Hash Table,16
2026-03-07 11:54:15,Greedy,3
2026-03-07 11:54:15,Binary Search,8
2026-03-07 11:54:15,Recursion,1
2026-03-07 11:54:15,Sliding Window,1
2026-03-07 11:54:15,Bit Manipulation,9
2026-03-07 11:54:15,Math,13
2026-03-07 11:54:15,Design,3
2026-03-07 11:54:15,Database,1
2026-03-07 11:54:15,Dynamic Programming,4
2026-03-07 11:54:15,Divide and Conquer,5
2026-03-07 11:54:15,Trie,1
2026-03-07 11:54:15,Monotonic Stack,3
2026-03-07 12:16:36,Array,62
2026-03-07 12:16:36,Matrix,2
2026-03-07 12:16:36,String,16
2026-03-07 12:16:36,Simulation,10
2026-03-07 12:16:36,Sorting,13
2026-03-07 12:16:36,Stack,8
2026-03-07 12:16:36,Queue,3
2026-03-07 12:16:36,Linked List,1
2026-03-07 12:16:36,Two Pointers,15
2026-03-07 12:16:36,Hash Table,16
2026-03-07 12:16:36,Greedy,3
2026-03-07 12:16:36,Binary Search,8
2026-03-07 12:16:36,Recursion,1
2026-03-07 12:16:36,Sliding Window,1
2026-03-07 12:16:36,Bit Manipulation,9
2026-03-07 12:16:36,Math,13
2026-03-07 12:16:36,Design,3
2026-03-07 12:16:36,Database,1
2026-03-07 12:16:36,Dynamic Programming,4
2026-03-07 12:16:36,Divide and Conquer,5
2026-03-07 12:16:36,Trie,1
2026-03-07 12:16:36,Monotonic Stack,3
2026-03-07 12:16:56,Array,62
2026-03-07 12:16:56,Matrix,2
2026-03-07 12:16:56,String,16
2026-03-07 12:16:56,Simulation,10
2026-03-07 12:16:56,Sorting,13
2026-03-07 12:16:56,Stack,8
2026-03-07 12:16:56,Queue,3
2026-03-07 12:16:56,Linked List,1
2026-03-07 12:16:56,Two Pointers,15
2026-03-07 12:16:56,Hash Table,16
2026-03-07 12:16:56,Greedy,3
2026-03-07 12:16:56,Binary Search,8
2026-03-07 12:16:56,Recursion,1
2026-03-07 12:16:56,Sliding Window,1
2026-03-07 12:16:56,Bit Manipulation,9
2026-03-07 12:16:56,Math,13
2026-03-07 12:16:56,Design,3
2026-03-07 12:16:56,Database,1
2026-03-07 12:16:56,Dynamic Programming,4
2026-03-07 12:16:56,Divide and Conquer,5
2026-03-07 12:16:56,Trie,1
2026-03-07 12:16:56,Monotonic Stack,3
2026-03-07 12:17:38,Array,62
2026-03-07 12:17:38,Matrix,2
2026-03-07 12:17:38,String,16
2026-03-07 12:17:38,Simulation,10
2026-03-07 12:17:38,Sorting,13
2026-03-07 12:17:38,Stack,8
2026-03-07 12:17:38,Queue,3
2026-03-07 12:17:38,Linked List,1
2026-03-07 12:17:38,Two Pointers,15
2026-03-07 12:17:38,Hash Table,16
2026-03-07 12:17:38,Greedy,3
2026-03-07 12:17:38,Binary Search,8
2026-03-07 12:17:38,Recursion,1
2026-03-07 12:17:38,Sliding Window,1
2026-03-07 12:17:38,Bit Manipulation,9
2026-03-07 12:17:38,Math,13
2026-03-07 12:17:38,Design,3
2026-03-07 12:17:38,Database,1
2026-03-07 12:17:38,Dynamic Programming,4
2026-03-07 12:17:38,Divide and Conquer,5
2026-03-07 12:17:38,Trie,1
2026-03-07 12:17:38,Monotonic Stack,3
2026-03-07 12:17:58,Array,62
2026-03-07 12:17:58,Matrix,2
2026-03-07 12:17:58,String,16
2026-03-07 12:17:58,Simulation,10
2026-03-07 12:17:58,Sorting,13
2026-03-07 12:17:58,Stack,8
2026-03-07 12:17:58,Queue,3
2026-03-07 12:17:58,Linked List,1
2026-03-07 12:17:58,Two Pointers,15
2026-03-07 12:17:58,Hash Table,16
2026-03-07 12:17:58,Greedy,3
2026-03-07 12:17:58,Binary Search,8
2026-03-07 12:17:58,Recursion,1
2026-03-07 12:17:58,Sliding Window,1
2026-03-07 12:17:58,Bit Manipulation,9
2026-03-07 12:17:58,Math,13
2026-03-07 12:17:58,Design,3
2026-03-07 12:17:58,Database,1
2026-03-07 12:17:58,Dynamic Programming,4
2026-03-07 12:17:58,Divide and Conquer,5
2026-03-07 12:17:58,Trie,1
2026-03-07 12:17:58,Monotonic Stack,3
2026-03-07 12:20:20,Array,62
2026-03-07 12:20:20,Matrix,2
2026-03-07 12:20:20,String,16
2026-03-07 12:20:20,Simulation,10
2026-03-07 12:20:20,Sorting,13
2026-03-07 12:20:20,Stack,8
2026-03-07 12:20:20,Queue,3
2026-03-07 12:20:20,Linked List,1
2026-03-07 12:20:20,Two Pointers,15
2026-03-07 12:20:20,Hash Table,16
2026-03-07 12:20:20,Greedy,3
2026-03-07 12:20:20,Binary Search,8
2026-03-07 12:20:20,Recursion,1
2026-03-07 12:20:20,Sliding Window,1
2026-03-07 12:20:20,Bit Manipulation,9
2026-03-07 12:20:20,Math,13
2026-03-07 12:20:20,Design,3
2026-03-07 12:20:20,Database,1
2026-03-07 12:20:20,Dynamic Programming,4
2026-03-07 12:20:20,Divide and Conquer,5
2026-03-07 12:20:20,Trie,1
2026-03-07 12:20:20,Monotonic Stack,3
2026-03-07 12:20:40,Array,62
2026-03-07 12:20:40,Matrix,2
2026-03-07 12:20:40,String,16
2026-03-07 12:20:40,Simulation,10
2026-03-07 12:20:40,Sorting,13
2026-03-07 12:20:40,Stack,8
2026-03-07 12:20:40,Queue,3
2026-03-07 12:20:40,Linked List,1
2026-03-07 12:20:40,Two Pointers,15
2026-03-07 12:20:40,Hash Table,16
2026-03-07 12:20:40,Greedy,3
2026-03-07 12:20:40,Binary Search,8
2026-03-07 12:20:40,Recursion,1
2026-03-07 12:20:40,Sliding Window,1
2026-03-07 12:20:40,Bit Manipulation,9
2026-03-07 12:20:40,Math,13
2026-03-07 12:20:40,Design,3
2026-03-07 12:20:40,Database,1
2026-03-07 12:20:40,Dynamic Programming,4
2026-03-07 12:20:40,Divide and Conquer,5
2026-03-07 12:20:40,Trie,1
2026-03-07 12:20:40,Monotonic Stack,3
2026-03-07 12:31:52,Array,62
2026-03-07 12:31:52,Matrix,2
2026-03-07 12:31:52,String,16
2026-03-07 12:31:52,Simulation,10
2026-03-07 12:31:52,Sorting,13
2026-03-07 12:31:52,Stack,8
2026-03-07 12:31:52,Queue,3
2026-03-07 12:31:52,Linked List,1
2026-03-07 12:31:52,Two Pointers,15
2026-03-07 12:31:52,Hash Table,16
2026-03-07 12:31:52,Greedy,3
2026-03-07 12:31:52,Binary Search,8
2026-03-07 12:31:52,Recursion,1
2026-03-07 12:31:52,Sliding Window,1
2026-03-07 12:31:52,Bit Manipulation,9
2026-03-07 12:31:52,Math,13
2026-03-07 12:31:52,Design,3
2026-03-07 12:31:52,Database,1
2026-03-07 12:31:52,Dynamic Programming,4
2026-03-07 12:31:52,Divide and Conquer,5
2026-03-07 12:31:52,Trie,1
2026-03-07 12:31:52,Monotonic Stack,3
2026-03-07 12:32:11,Array,62
2026-03-07 12:32:11,Matrix,2
2026-03-07 12:32:11,String,16
2026-03-07 12:32:11,Simulation,10
2026-03-07 12:32:11,Sorting,13
2026-03-07 12:32:11,Stack,8
2026-03-07 12:32:11,Queue,3
2026-03-07 12:32:11,Linked List,1
2026-03-07 12:32:11,Two Pointers,15
2026-03-07 12:32:11,Hash Table,16
2026-03-07 12:32:11,Greedy,3
2026-03-07 12:32:11,Binary Search,8
2026-03-07 12:32:11,Recursion,1
2026-03-07 12:32:11,Sliding Window,1
2026-03-07 12:32:11,Bit Manipulation,9
2026-03-07 12:32:11,Math,13
2026-03-07 12:32:11,Design,3
2026-03-07 12:32:11,Database,1
2026-03-07 12:32:11,Dynamic Programming,4
2026-03-07 12:32:11,Divide and Conquer,5
2026-03-07 12:32:11,Trie,1
2026-03-07 12:32:11,Monotonic Stack,3
2026-03-07 17:34:07,Array,62
2026-03-07 17:34:07,Matrix,2
2026-03-07 17:34:07,String,16
2026-03-07 17:34:07,Simulation,10
2026-03-07 17:34:07,Sorting,13
2026-03-07 17:34:07,Stack,8
2026-03-07 17:34:07,Queue,3
2026-03-07 17:34:07,Linked List,1
2026-03-07 17:34:07,Two Pointers,15
2026-03-07 17:34:07,Hash Table,16
2026-03-07 17:34:07,Greedy,3
2026-03-07 17:34:07,Binary Search,8
2026-03-07 17:34:07,Recursion,1
2026-03-07 17:34:07,Sliding Window,1
2026-03-07 17:34:07,Bit Manipulation,9
2026-03-07 17:34:07,Math,13
2026-03-07 17:34:07,Design,3
2026-03-07 17:34:07,Database,1
2026-03-07 17:34:07,Dynamic Programming,4
2026-03-07 17:34:07,Divide and Conquer,5
2026-03-07 17:34:07,Trie,1
2026-03-07 17:34:07,Monotonic Stack,3
2026-03-07 17:45:08,Array,62
2026-03-07 17:45:08,Matrix,2
2026-03-07 17:45:08,String,16
2026-03-07 17:45:08,Simulation,10
2026-03-07 17:45:08,Sorting,13
2026-03-07 17:45:08,Stack,8
2026-03-07 17:45:08,Queue,3
2026-03-07 17:45:08,Linked List,1
2026-03-07 17:45:08,Two Pointers,15
2026-03-07 17:45:08,Hash Table,16
2026-03-07 17:45:08,Greedy,3
2026-03-07 17:45:08,Binary Search,8
2026-03-07 17:45:08,Recursion,1
2026-03-07 17:45:08,Sliding Window,1
2026-03-07 17:45:08,Bit Manipulation,9
2026-03-07 17:45:08,Math,13
2026-03-07 17:45:08,Design,3
2026-03-07 17:45:08,Database,1
2026-03-07 17:45:08,Dynamic Programming,4
2026-03-07 17:45:08,Divide and Conquer,5
2026-03-07 17:45:08,Trie,1
2026-03-07 17:45:08,Monotonic Stack,3
2026-03-07 19:15:51,Array,62
2026-03-07 19:15:51,Matrix,2
2026-03-07 19:15:51,String,16
2026-03-07 19:15:51,Simulation,10
2026-03-07 19:15:51,Sorting,13
2026-03-07 19:15:51,Stack,8
2026-03-07 19:15:51,Queue,3
2026-03-07 19:15:51,Linked List,1
2026-03-07 19:15:51,Two Pointers,15
2026-03-07 19:15:51,Hash Table,16
2026-03-07 19:15:51,Greedy,3
2026-03-07 19:15:51,Binary Search,8
2026-03-07 19:15:51,Recursion,1
2026-03-07 19:15:51,Sliding Window,1
2026-03-07 19:15:51,Bit Manipulation,9
2026-03-07 19:15:51,Math,13
2026-03-07 19:15:51,Design,3
2026-03-07 19:15:51,Database,1
2026-03-07 19:15:51,Dynamic Programming,4
2026-03-07 19:15:51,Divide and Conquer,5
2026-03-07 19:15:51,Trie,1
2026-03-07 19:15:51,Monotonic Stack,3
2026-03-07 19:29:18,Array,62
2026-03-07 19:29:18,Matrix,2
2026-03-07 19:29:18,String,16
2026-03-07 19:29:18,Simulation,10
2026-03-07 19:29:18,Sorting,13
2026-03-07 19:29:18,Stack,8
2026-03-07 19:29:18,Queue,3
2026-03-07 19:29:18,Linked List,1
2026-03-07 19:29:18,Two Pointers,15
2026-03-07 19:29:18,Hash Table,16
2026-03-07 19:29:18,Greedy,3
2026-03-07 19:29:18,Binary Search,8
2026-03-07 19:29:18,Recursion,1
2026-03-07 19:29:18,Sliding Window,1
2026-03-07 19:29:18,Bit Manipulation,9
2026-03-07 19:29:18,Math,13
2026-03-07 19:29:18,Design,3
2026-03-07 19:29:18,Database,1
2026-03-07 19:29:18,Dynamic Programming,4
2026-03-07 19:29:18,Divide and Conquer,5
2026-03-07 19:29:18,Trie,1
2026-03-07 19:29:18,Monotonic Stack,3
2026-03-07 19:36:00,Array,62
2026-03-07 19:36:00,Matrix,2
2026-03-07 19:36:00,String,16
2026-03-07 19:36:00,Simulation,10
2026-03-07 19:36:00,Sorting,13
2026-03-07 19:36:00,Stack,8
2026-03-07 19:36:00,Queue,3
2026-03-07 19:36:00,Linked List,1
2026-03-07 19:36:00,Two Pointers,15
2026-03-07 19:36:00,Hash Table,16
2026-03-07 19:36:00,Greedy,3
2026-03-07 19:36:00,Binary Search,8
2026-03-07 19:36:00,Recursion,1
2026-03-07 19:36:00,Sliding Window,1
2026-03-07 19:36:00,Bit Manipulation,9
2026-03-07 19:36:00,Math,13
2026-03-07 19:36:00,Design,3
2026-03-07 19:36:00,Database,1
2026-03-07 19:36:00,Dynamic Programming,4
2026-03-07 19:36:00,Divide and Conquer,5
2026-03-07 19:36:00,Trie,1
2026-03-07 19:36:00,Monotonic Stack,3
